iter	Logloss
0	0.6565137939
1	0.6281176758
2	0.6081376343
3	0.5946813965
4	0.5763881226
5	0.5652097778
6	0.555708374
7	0.5469202271
8	0.5404136963
9	0.5349890747
10	0.5300548096
11	0.5261147461
12	0.5228041992
13	0.520026001
14	0.5170465088
15	0.5151593628
16	0.5129412842
17	0.5116384277
18	0.5100360107
19	0.5085180664
20	0.5070405273
21	0.5058418579
22	0.5052717285
23	0.5037765503
24	0.5024406433
25	0.5014820557
26	0.5006444702
27	0.4997116089
28	0.4981094971
29	0.4972399902
30	0.4966010742
31	0.4958922729
32	0.4950558472
33	0.494427002
34	0.4934265137
35	0.4923418884
36	0.4916391907
37	0.4906170654
38	0.4901554565
39	0.4891783447
40	0.4884867554
41	0.4873938599
42	0.4869214172
43	0.4862740479
44	0.4854976807
45	0.4848948975
46	0.4846217041
47	0.4839335327
48	0.4832957458
49	0.4830213013
50	0.4823978271
51	0.4816057434
52	0.4810221558
53	0.4804857178
54	0.4800958252
55	0.4794025269
56	0.4785447388
57	0.4777564392
58	0.4770410156
59	0.4765386353
60	0.4758588867
61	0.4752632141
62	0.4748208008
63	0.474085083
64	0.473553833
65	0.4729425354
66	0.4720739441
67	0.4717341919
68	0.4715324097
69	0.471146637
70	0.4704248047
71	0.4699676514
72	0.4693434448
73	0.4685101013
74	0.4680848999
75	0.4674176025
76	0.4668190308
77	0.4663826904
78	0.4656680908
79	0.46456073
80	0.4641212463
81	0.4636080627
82	0.4628936157
83	0.4622744141
84	0.4618071899
85	0.4605836792
86	0.459994873
87	0.4592637634
88	0.4583779602
89	0.458034668
90	0.4573339844
91	0.4565006714
92	0.4558561401
93	0.4552963562
94	0.4546025085
95	0.4540205078
96	0.4533127441
97	0.4528919678
98	0.452463501
99	0.4519639282
